,produto,preco,inversor,modulo,data
103,"Kit 9,35 kWp - Cerâmico","R$ 25.367,66",1 inversor solis 8kw - monofásico 220 v,17 módulos sunova 550w,2023-08-18
104,"Kit 9,09 kWp - Cerâmico","R$ 26.458,23",1 inversor solis 8kw - monofásico 220 v,18 módulos sunova 505w,2023-08-18
105,"Kit 6,06 kWp - Cerâmico","R$ 17.394,20",1 inversor solis 5kw - monofásico 220 v,12 módulos sunova 505w,2023-08-18
106,"Kit 4,04 kWp - Cerâmico","R$ 12.146,30",1 inversor solis 3kw - monofásico 220 v,8 módulos sunova 505w,2023-08-18
107,"Kit 5,55kWp - Laje","R$ 15.842,44",1 inversor deye 5k - monofásico 220 v,10 módulos honor 555w,2023-08-18
108,"Kit 5,55kWp - Colonial","R$ 14.526,08",1 inversor deye 5k - monofásico 220 v,10 módulos honor 555w,2023-08-18
109,"Kit 5,55kWp - Fibromadeira","R$ 14.402,14",1 inversor deye 5k - monofásico 220 v,10 módulos honor 555w,2023-08-18
110,"Kit 5,55kWp - Fibrometal","R$ 14.303,00",1 inversor deye 5k - monofásico 220 v,10 módulos honor 555w,2023-08-18
111,"Kit 5,55kWp - Metalico","R$ 14.067,72",1 inversor deye 5k - monofásico 220 v,10 módulos honor 555w,2023-08-18
112,"Kit 4,44kWp - Laje","R$ 12.681,74",1 inversor deye 4k - monofásico 220 v,8 módulos honor 555w,2023-08-18
113,"Kit 4,44kWp - Colonial","R$ 11.905,54",1 inversor deye 4k - monofásico 220 v,8 módulos honor 555w,2023-08-18
114,"Kit 4,44kWp - Fibromadeira","R$ 11.805,40",1 inversor deye 4k - monofásico 220 v,8 módulos honor 555w,2023-08-18
115,"Kit 4,44kWp - Fibrometal","R$ 11.725,70",1 inversor deye 4k - monofásico 220 v,8 módulos honor 555w,2023-08-18
116,"Kit 4,44kWp - Metalico","R$ 11.538,62",1 inversor deye 4k - monofásico 220 v,8 módulos honor 555w,2023-08-18
117,"Kit 3,33kWp - Laje","R$ 9.794,54",1 inversor deye 3k - monofásico 220 v,6 módulos honor 555w,2023-08-18
118,"Kit 3,33kWp - Colonial","R$ 8.866,28",1 inversor deye 3k - monofásico 220 v,6 módulos honor 555w,2023-08-18
119,"Kit 3,33kWp - Fibromadeira","R$ 8.792,41",1 inversor deye 3k - monofásico 220 v,6 módulos honor 555w,2023-08-18
